gene_id,Ctr_1,Ctr_2,Ctr_3,TTT_1,TTT_2,TTT_3
ENSG00000111275,16.43686043,13.91972752,13.85305166,14.73165376,14.57533834,13.77169032
ENSG00000147872,34.47259327,27.11415587,23.88252734,28.19695345,27.24127887,25.4395482
ENSG00000183741,16.27585608,16.91531267,18.37423211,18.15791322,17.06617926,19.035609
ENSG00000130816,11.63055576,12.20766419,11.39906083,16.20318122,16.73246531,18.39576573
ENSG00000198900,37.37337604,35.04812118,33.68123887,40.81514056,41.66036334,38.39153594
ENSG00000120254,22.7012469,20.87006996,18.4168334,34.89099432,35.44421026,36.44484059
ENSG00000204387,67.76170128,49.37842622,64.49610107,97.1513891,99.02404827,94.23256943
ENSG00000154310,19.30890291,19.03602251,17.24295097,14.76049803,14.60062742,13.98472734
ENSG00000186591,25.59913323,23.03678359,23.03865809,20.06633633,19.59138089,18.51226221
ENSG00000197249,29.8156625,27.06995232,25.96912719,33.30283571,26.72593229,29.38689126
ENSG00000169926,16.25691683,16.53653993,16.04710586,13.52119507,12.44743464,14.6708221
ENSG00000171862,13.9424507,11.95760356,10.89144599,12.55262773,12.90271153,10.42512038
ENSG00000164916,9.897985424,10.88596022,11.22444597,10.32036492,10.363953,11.61006707
ENSG00000196235,16.17073319,15.35248438,16.16505442,16.4451858,16.5539018,17.4805047
ENSG00000125755,12.91869887,12.02299782,12.81773396,12.96019068,13.8772863,14.53677824
ENSG00000103051,30.07830656,28.91445991,26.54979031,30.07830799,28.35253585,31.26280568
ENSG00000263266,274.3877429,216.368205,220.5001,260.4255807,243.6475995,221.6818712
ENSG00000127837,48.25167972,36.93350815,40.35581171,48.31046896,47.53654785,46.4473427
ENSG00000166228,95.01959219,76.63156731,79.0535117,89.93429429,92.54798939,87.40459466
ENSG00000133226,15.78646544,15.17193362,17.83523054,17.7443585,18.80173182,17.85561411
ENSG00000115762,22.96558553,20.43950506,18.82564023,22.1579227,20.31279552,19.91086218
ENSG00000141959,17.11978727,15.13633746,15.00689747,15.22990736,14.84028654,16.48972019
ENSG00000099817,28.75679862,25.59152392,24.1759527,31.08002126,31.48933491,31.13332549
